Date,USD_VOLUMES,FEES,TOTAL_TRANSACTIONS
2022/10/11,847398225.2,868288.4929,96267
2022/10/12,734036707.5,604084.4583,85569
2022/10/13,2263703655,798058.4183,100318
2022/10/14,2026999110,591142.8267,88437
2022/10/15,891958012.3,515206.7024,86594
2022/10/16,862256837.4,509173.0455,93178
2022/10/17,1700578119,1107326.537,133529
2022/10/18,1418553776,980008.6659,122159
2022/10/19,973890536.7,1029311.062,115198
2022/10/20,934097670.2,1239949.864,109286
2022/10/21,879073235.7,1014985.832,100662
2022/10/22,715719902.7,549365.0304,81398
2022/10/23,1180199435,482885.8574,93946
2022/10/24,1829756076,622982.1934,89457
2022/10/25,2666171196,913471.138,100714
2022/10/26,3030558048,847429.1841,102582
2022/10/27,2391186700,704415.4262,96180
2022/10/28,2571308046,948208.2518,129823
2022/10/29,3185349537,935551.1362,140507
2022/10/30,2271204828,518966.9814,119776
2022/10/31,2452354337,1233654.282,121892
2022/11/1,2339582728,888525.565,129894
2022/11/2,3022075714,966551.181,126785
2022/11/3,1630169157,1007356.639,118044
2022/11/4,2735662696,1062895.71,122990
2022/11/5,1692547689,668786.1791,108206
2022/11/6,1409148474,652642.9137,106531
2022/11/7,2552115282,898537.5158,109677
2022/11/8,4548752013,2909174.758,139002
2022/11/9,4542292785,2496822.567,133279
2022/11/10,3749798907,1754574.018,126515
2022/11/11,2463118059,1133218.017,105328
2022/11/12,2791624551,630277.0639,86835
2022/11/13,1871006987,626964.9398,93361
2022/11/14,2472504543,763699.0448,105536
2022/11/15,1981615236,775507.8294,109428
2022/11/16,1292932585,657888.7457,107158
2022/11/17,1610477143,509735.6059,87377
2022/11/18,827562163.4,542202.9176,82286
2022/11/19,673114997.5,314221.8268,70382
2022/11/20,1212764507,426695.4611,88225
2022/11/21,1974973597,476545.1698,90478
2022/11/22,2015689618,516726.1903,85874
2022/11/23,2365197953,373854.0962,75572
2022/11/24,2433580209,339797.3907,68157
2022/11/25,2459226788,283516.3907,68201
2022/11/26,1928020691,285351.1929,69945
2022/11/27,1653149513,248463.3626,65962
2022/11/28,1933134099,411542.198,77063
2022/11/29,1688011615,343275.7781,79620
2022/11/30,2578939590,462287.4699,88157
2022/12/1,1523636023,381265.884,76458
2022/12/2,1622688227,340774.0566,69602
2022/12/3,1249819818,277635.5603,65297
2022/12/4,1043085963,263864.3912,63656
2022/12/5,1684595240,435638.1786,78496
2022/12/6,1549450773,372140.9506,73207
2022/12/7,1545481205,379285.281,70432
2022/12/8,1846665782,417585.7867,74174
2022/12/9,1340328348,548132.1456,62174
2022/12/10,862405436.3,327588.7405,60231
2022/12/11,1162871440,335947.7069,58862
